OrderID,OrderTimestamp,DeliveryZone,Courier,DeliveryService,Occasion,ProductCategory,ProductID,FreshFlowers,LeadTimeDays,RequestedDeliveryDateTime,DispatchTimestamp,DeliveredTimestamp,DailyOrderVolume,OrderValue,ComplaintRaised,Refunded,RefundReason,RefundAmount,LatenessHours,DaysToDeliver,ZoneStandardDays,OnTime,DeliveryOutcome,WithinSpeedStandard,HandlingHours,TransitHours,DispatchSlackHours,CourierNormTransit,CourierDelayHours,InternalDelayHours,LatenessBucket,DelayDrivenRefund,HardDateOccasion,VolumeBand
ORD1003,2026-01-01 07:12:00,Klang Valley,In-house Rider,Same Day,Anniversary,Bouquet,BHC-RCL,Yes,0,2026-01-01 16:00:00,2026-01-01 15:07:00,2026-01-01 16:37:00,11,135,No,No,,0.0,0.6166666666666667,0,1,True,Positive,True,7.916666666666667,1.5,0.8833333333333333,1.6666666666666667,0.0,0.7833333333333334,On time (<=1h),False,True,<=20
ORD1002,2026-01-01 07:35:00,Klang Valley,Lalamove,Same Day,Other,Bouquet,BHC-CPK,Yes,0,2026-01-01 14:00:00,2026-01-01 12:23:00,2026-01-01 14:11:00,11,155,Yes,No,,0.0,0.18333333333333332,0,1,True,Positive,True,4.8,1.8,1.6166666666666667,1.6333333333333333,0.16666666666666674,0.016666666666666607,On time (<=1h),False,False,<=20
ORD1020,2026-01-01 08:00:00,Johor Bahru,Pos Laju,Next Day,Birthday,Gift Set,BHC-GST,No,1,2026-01-02 14:00:00,2026-01-01 13:04:00,2026-01-02 14:34:00,11,179,No,No,,0.0,0.5666666666666667,1,2,True,Positive,True,5.066666666666666,25.5,24.933333333333334,22.0,3.5,0.0,On time (<=1h),False,False,<=20
ORD1008,2026-01-01 09:23:00,Klang Valley,In-house Rider,Same Day,Other,Bouquet,BHC-BBW,Yes,0,2026-01-01 14:00:00,2026-01-01 13:20:00,2026-01-01 15:06:00,11,89,No,No,,0.0,1.1,0,1,False,Negative,True,3.95,1.7666666666666666,0.6666666666666666,1.6666666666666667,0.09999999999999987,1.0,1-6h late,False,False,<=20
ORD1044,2026-01-01 10:23:00,Other,J&T Express,Scheduled,Grand Opening,Gift Set,BHC-GSC,No,3,2026-01-04 14:00:00,2026-01-03 20:12:00,2026-01-04 13:50:00,15,249,No,No,,0.0,-0.16666666666666666,3,2,True,Positive,False,57.81666666666667,17.633333333333333,17.8,23.275,0.0,5.474999999999998,On time (<=1h),False,True,<=20
ORD1004,2026-01-01 11:00:00,Klang Valley,In-house Rider,Same Day,Other,Bouquet,BHC-BBW,Yes,0,2026-01-01 18:00:00,2026-01-01 15:55:00,2026-01-01 18:39:00,11,89,No,No,,0.0,0.65,0,1,True,Positive,True,4.916666666666667,2.7333333333333334,2.0833333333333335,1.6666666666666667,1.0666666666666667,0.0,On time (<=1h),False,False,<=20
ORD1082,2026-01-01 11:35:00,Penang,Ninja Van,Scheduled,Congratulations,Bouquet,BHC-SUN,Yes,7,2026-01-08 18:00:00,2026-01-07 19:12:00,2026-01-08 17:14:00,10,169,No,No,,0.0,-0.7666666666666667,7,2,True,Positive,False,151.61666666666667,22.033333333333335,22.8,21.416666666666664,0.6166666666666707,0.0,On time (<=1h),False,False,<=20
ORD1006,2026-01-01 11:47:00,Klang Valley,In-house Rider,Same Day,Congratulations,Bouquet,BHC-SUN,Yes,0,2026-01-01 16:00:00,2026-01-01 14:52:00,2026-01-01 16:48:00,11,169,No,No,,0.0,0.8,0,1,True,Positive,True,3.0833333333333335,1.9333333333333333,1.1333333333333333,1.6666666666666667,0.2666666666666666,0.5333333333333334,On time (<=1h),False,False,<=20
ORD1017,2026-01-01 12:12:00,Penang,Pos Laju,Next Day,Other,Bouquet,BHC-CPK,Yes,1,2026-01-02 12:00:00,2026-01-01 13:12:00,2026-01-02 18:56:00,11,165,Yes,Yes,Late Delivery,129.38,6.933333333333334,1,2,True,Positive,True,1.0,29.733333333333334,22.8,22.0,7.733333333333334,0.0,6-24h late,True,False,<=20
ORD1079,2026-01-01 13:58:00,Penang,Pos Laju,Scheduled,Congratulations,Flower Box,BHC-PNB,Yes,6,2026-01-07 18:00:00,2026-01-06 22:46:00,2026-01-07 17:38:00,12,199,No,No,,0.0,-0.36666666666666664,6,2,True,Positive,False,128.8,18.866666666666667,19.233333333333334,22.0,0.0,2.7666666666666657,On time (<=1h),False,False,<=20
ORD1021,2026-01-01 14:00:00,Klang Valley,Lalamove,Next Day,Other,Bouquet,BHC-RCL,Yes,1,2026-01-02 14:00:00,2026-01-02 12:13:00,2026-01-02 14:16:00,11,145,No,No,,0.0,0.26666666666666666,1,1,True,Positive,True,22.216666666666665,2.05,1.7833333333333334,1.6333333333333333,0.4166666666666665,0.0,On time (<=1h),False,False,<=20
ORD1066,2026-01-01 17:23:00,Johor Bahru,J&T Express,Scheduled,Birthday,Bouquet,BHC-CPK,Yes,5,2026-01-06 10:00:00,2026-01-05 07:16:00,2026-01-06 09:24:00,7,145,No,No,,0.0,-0.6,5,2,True,Positive,False,85.88333333333334,26.133333333333333,26.733333333333334,23.275,2.8583333333333343,0.0,On time (<=1h),False,False,<=20
ORD1061,2026-01-01 19:23:00,Penang,Ninja Van,Scheduled,Congratulations,Bouquet,BHC-SUN,Yes,5,2026-01-06 12:00:00,2026-01-05 07:11:00,2026-01-06 12:21:00,7,169,No,No,,0.0,0.35,5,2,True,Positive,False,83.8,29.166666666666668,28.816666666666666,21.416666666666664,7.7500000000000036,0.0,On time (<=1h),False,False,<=20
ORD1058,2026-01-01 19:35:00,Klang Valley,In-house Rider,Scheduled,Anniversary,Bouquet,BHC-RRB,Yes,4,2026-01-05 16:00:00,2026-01-05 14:53:00,2026-01-05 16:58:00,11,209,No,No,,0.0,0.9666666666666667,4,1,True,Positive,False,91.3,2.0833333333333335,1.1166666666666667,1.6666666666666667,0.41666666666666674,0.55,On time (<=1h),False,True,<=20
ORD1060,2026-01-01 21:47:00,Johor Bahru,J&T Express,Scheduled,Congratulations,Flower Box,BHC-TLB,Yes,4,2026-01-05 16:00:00,2026-01-04 21:37:00,2026-01-05 15:22:00,11,204,No,No,,0.0,-0.6333333333333333,4,2,True,Positive,False,71.83333333333333,17.75,18.383333333333333,23.275,0.0,4.891666666666666,On time (<=1h),False,False,<=20
